yearID,,W,L,Win%,Quartile,IPouts,R,H,2B,3B,HR,BB,SO,SB,RA,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,ERA,WHIP
1916,,89,65,0.577922078,1,4236,3.902597403,8.292207792,1.25974026,0.649350649,0.11038961,2.902597403,3.837662338,1.279220779,3.227272727,0.12987013,0.097402597,7.720779221,0.090909091,2.62987013,4.181818182,1.331168831,0.87012987,0.968,2.36,0.007330488
1916,,67,86,0.437908497,4,4248,3.39869281,8.08496732,1.267973856,0.366013072,0.300653595,2.607843137,4.326797386,0.869281046,3.535947712,0.111111111,0.08496732,8.267973856,0.209150327,2.385620915,4.026143791,1.810457516,0.679738562,0.957,2.65,0.007523725
1916,,60,93,0.392156863,4,4224,3.300653595,8.732026144,1.222222222,0.575163399,0.091503268,2.366013072,3.745098039,1.026143791,4.032679739,0.045751634,0.039215686,8.862745098,0.22875817,3.013071895,3.718954248,1.490196078,0.823529412,0.965,3.1,0.008434529
1916,,77,77,0.5,3,4230,4.090909091,8.207792208,1.512987013,0.428571429,0.103896104,3.38961039,3.928571429,1.038961039,3.909090909,0.058441558,0.103896104,8.980519481,0.103896104,3.032467532,3.487012987,1.506493506,0.844155844,0.965,2.9,0.008519849
1916,,87,67,0.564935065,1,4230,4.350649351,8.902597403,1.311688312,0.623376623,0.11038961,3.538961039,3.435064935,1.233766234,3.863636364,0.051948052,0.084415584,8.142857143,0.077922078,3.753246753,3.448051948,1.37012987,0.714285714,0.968,2.97,0.008436953
1916,,86,66,0.565789474,1,4191,3.927631579,8.585526316,1.236842105,0.486842105,0.276315789,2.342105263,3.671052632,1.355263158,3.315789474,0.144736842,0.078947368,8.335526316,0.269736842,2.039473684,4.197368421,1.427631579,0.710526316,0.966,2.6,0.007426628
1916,,80,74,0.519480519,2,4284,3.746753247,8.292207792,1.25974026,0.383116883,0.227272727,3.350649351,4.103896104,1.162337662,3.642857143,0.077922078,0.11038961,8.11038961,0.24025974,3.090909091,4,1.422077922,0.772727273,0.967,2.77,0.007844047
1916,,36,117,0.235294118,4,4029,2.921568627,7.921568627,1.104575163,0.424836601,0.124183007,2.653594771,4.124183007,0.986928105,5.071895425,0.071895425,0.019607843,8.568627451,0.169934641,4.673202614,3.758169935,2.039215686,0.823529412,0.952,3.92,0.009859888
1916,,91,62,0.594771242,1,4146,3.797385621,8.130718954,1.45751634,0.346405229,0.274509804,2.607843137,3.732026144,0.973856209,3.196078431,0.163398693,0.058823529,8.091503268,0.183006536,1.928104575,3.928104575,1.529411765,0.777777778,0.963,2.36,0.007250078
1916,,65,89,0.422077922,4,4257,3.142857143,8.090909091,0.954545455,0.590909091,0.12987013,2.415584416,4.012987013,1.123376623,3.805194805,0.071428571,0.045454545,8.292207792,0.155844156,2.876623377,3.87012987,1.688311688,0.62987013,0.959,2.76,0.007870917
